"PlotID"	"OTU"	"SYMBIOTROPH"	"PATHOTROPH"	"SAPROTROPH"	"UNKNOWN"	"fw_fr"	"water_fr"	"AMtotal"	"AMvis"	"AMarb"	"C/N_roots"	"K_roots"	"Mg_roots"	"Na_roots"	"P_roots"	"N_litter"	"litterfall"	"basal_respiration"	"microbial_biomass"	"Air_T_95low"	"Soil_T_mean"	"base_saturation"	"pH"	"soil_15N_signature"	"soil_organic_C"	"CN_ratio"	"Bray_extractable_P"	"soil_bulk_density"	"Sand"	"Silt"	"Clay"	"ssc_mean"	"ssc_sd"	"enl_mean"	"enl_sd"	"lon"	"lat"
"BF1"	407	7.4857608	38.64930822	28.96664179	24.89829	9.053062331	0.764711483	83.3993265993266	8.60740740740741	15.3454545454545	35.5530709778413	4.77379586866667	2.142627269	0.353139808	0.642644686333333	15.7538943333333	6.86	4.887064273	402.1057597	21.85	24.45615751	32.7683945404761	4.3	4.51	2.846659	11.44013	1.1311752	0.92	13.7	48.3279999999997	37.9720000000003	7.966586364	1.987600923	13.53084017	2.807828514	4	16
"BF2"	454	7.8112286	24.6541903	38.16110393	29.37347	9.487735251	0.723347431	88.4533881600893	8.47140093278264	7.43005646428073	38.9961723036834	2.387252113	1.61523541633333	0.288157884	0.481277481	18.2976293333333	5.83	9.078435873	714.6251103	22.079	25.07608424	32.3658466328666	4.184	4.46	4.757171	10.36613	1.6777411	0.78	35.9	35.8	28.3	7.241015203	1.941246102	13.74606927	4.420945724	3	15
"BF3"	333	7.078926	19.60943854	46.86737	26.44426	7.78769340966667	0.757443282333333	73.3139447083181	3.67302399220558	3.61690415296553	38.1562433793103	1.16262950833333	1.32395513833333	0.193839671	0.481301030333333	12.2402096666667	9.86	6.459992253	355.7566334	21.82	25.39320845	12.2741589971308	4.172	4.58	3.134652	15.68671	1.422311	0.97	44	34	22	5.983021186	1.247855067	15.95817214	3.71129647	2	14
"BJ3"	436	1.1391375	23.84052106	49.47111483	25.54923	11.6484162426667	0.741184894	77.5744262432269	8.08683236050963	4.43591916148873	32.4640009136042	1.412792113	1.61149047066667	0.311699894333333	0.446818777333333	12.8904165	5.2	6.548161026	530.4389421	21.83	26.12638224	22.1398142619059	4.398	3.78	5.012378	12.58809	0.8378084	0.67	9.05	47.0431034482758	43.9068965517242	5.825789115	0.88834474	13.93831834	1.25972758	15	21
"BJ4"	420	2.0341741	29.86167627	44.42636179	23.67779	7.25193560466667	0.732631557	57.5833324876187	4.83981319856026	6.56111725663717	53.5170630280236	1.90163226233333	1.39690711266667	0.217570469666667	0.298780414666667	14.8571713333333	7.73	7.909858922	651.1318554	21.78	25.03805564	31.6824114247946	4.545	3.79	3.212834	13.4694	0.6524123	0.89	65.8	17.7839999999999	16.4160000000001	7.274265025	1.072290601	14.52537324	1.848735207	6	17
"BR1"	340	5.3702197	9.43856764	46.0537	39.13751	6.831263861	0.726988560666667	86.2179778469761	8.46108711492499	6.67408874283901	57.2664012340662	1.32011465733333	1.20893629066667	0.333996717666667	0.261913769	16.9688266666667	3.08	5.520554841	482.7728572	21.89	25.84701284	21.8051535212494	4.614	3.96	2.496974	13.3372	0.3080429	0.99	40.95	22.1437499999999	36.9062500000001	6.145658273	1.366954865	11.31033089	0.896365015	16	26
"BR2"	384	0.4068348	22.21318179	55.08543697	22.29455	4.372166358	0.777012569333333	87.2162328078083	8.01771587441627	7.65682150154584	33.1422794578642	1.01649673766667	1.63099516333333	0.307535976333333	0.379979149	11.2027356666667	2.9	4.47592792	510.5290343	21.77	25.83310254	26.0427426152586	4.515	4.31	2.509584	15.19741	0.3184898	1.05	42.05	35.2739130434782	22.6760869565218	3.916533782	0.499576049	11.37235288	0.708809266	11	25
"BR3"	332	0.8136697	13.18144886	67.53458	18.4703	4.357382659	0.741325583	77.4158294298175	7.49895008883864	1.69601033758682	37.0083339240564	1.0588283	1.25989884333333	0.355448559	0.349832429666667	11.6616316666667	3.48	5.385878973	574.360905	21.87	25.94223014	18.720210716867	4.455	4.66	2.360301	15.55214	0.4355494	1	21	30	49	3.404277844	0.736583895	11.7722512	1.070015043	10	27
"BR4"	461	0.9764036	13.75101697	40.76485393	44.50773	5.85699719666667	0.747524752333333	70.7064929092739	4.93277874941275	0.953085962801888	41.8921459439794	1.13395422666667	1.876163281	0.284491001	0.428328225	11.29839	3.67	4.047457668	438.4362139	21.83	25.60731347	13.863841983753	4.356	5.6	3.881358	13.17627	0.4709738	0.71	34.7	29.1	36.2	3.79920161	0.525436796	9.961620723	0.539497383	9	24
"BO2"	416	3.5801465	23.67778631	47.11147	25.63059	2.146502141	0.715279417	70.6633480549941	6.0655737704918	8.2042069017142	53.6351185350275	1.04703032133333	0.558122354333333	0.35581873	0.313692349666667	13.420258	5.1	5.546304335	390.8632691	21.91	27.31243227	35.2402760149722	4.297	5.82	3.278018	13.769	7.0759075	1.06	7.6	53.9000000000003	38.4999999999997	3.534049869	1.182626232	7.788615658	0.788190249	13	23
