Plot;BF1;BF2;BF3;BF4;BJ2;BJ3;BJ4;BJ5;BO2;BO3;BO4;BR1;BR2;BR3;BR4;HF1;HF2;HF3;HF4;HJ1;HJ2;HJ3;HJ4;HO1;HO2;HO3;HO4;HR1;HR2;HR3;HR4
Dicaeum trigonostigma;2;2;0;0;1;3;1;2;1;2;3;4;4;3;4;1;0;0;0;2;2;1;3;1;1;1;1;0;2;2;2
Dicrurus paradiseus;1;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0;2;0;0;0;0;2;1;0;0;0;0;0;0;1
Dinopium javanense;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Eudynamys scolopaceus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Eurylaimus harterti;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Eurylaimus ochromalus;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gerygone sulphurea;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gracula religiosa;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Halcyon smyrnensis;0;0;0;0;0;0;0;0;0;1;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Harpactes diardii;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Harpactes duvaucelii;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Hemiprocne longipennis;0;0;0;1;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hemipus hirundinaceus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
Hypothymis azurea;0;0;0;0;1;0;0;0;0;1;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Irena puella;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Leptocoma sperata;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
Lonchura punctulata;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Macronus ptilosus;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1
Malacopteron affine;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Malacopteron cinereum;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Malacopteron magnirostre;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;2;1;2;0;0;0;0;0;0;0;0
Malacopteron magnum;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;1;0;0;0;2;0;0;0;0;0;0;1;0
Meiglyptes tukki;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Micropternus brachyurus;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Mixornis gularis;1;1;0;0;0;2;0;0;0;0;1;0;1;0;1;1;3;0;0;0;0;1;2;0;0;0;0;1;1;1;0
Oriolus xanthonotus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Orthotomus atrogularis;0;1;0;0;2;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;2;3;0;0;0;0;0;0;1;0;0
Orthotomus ruficeps;0;0;0;0;0;2;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;4;2;0;1;0;0
Orthotomus sericeus;0;0;0;0;0;1;0;0;2;3;2;4;2;0;1;0;0;0;0;1;0;4;0;0;1;1;1;1;2;1;0
